,TÜFE
2024-12-31,100.0
2025-01-01,100.4440499114679
2025-01-02,100.68729745426388
2025-01-03,100.85107378919602
2025-01-04,100.9430345465779
2025-01-05,101.02016350302235
2025-01-06,101.15327740910541
2025-01-07,101.32376659048337
2025-01-08,101.4698772855635
2025-01-09,101.62999922516067
2025-01-10,101.69825827630206
2025-01-11,101.77161603411648
2025-01-12,101.81252079830765
2025-01-13,101.80551259229098
2025-01-14,101.87504928892639
2025-01-15,102.18754945315453
2025-01-16,102.27736897709997
2025-01-17,102.31589320702005
2025-01-18,102.42850534444526
2025-01-19,102.46325646330888
2025-01-20,102.64800621686481
2025-01-21,102.68880271252517
2025-01-22,102.81056986441477
2025-01-23,102.82468471745368
2025-01-24,102.93692049808635
2025-01-25,102.98508120176206
2025-01-26,103.12640832326423
2025-01-27,103.25794599251742
2025-01-28,103.4595177088802
2025-01-29,103.51859439053588
2025-01-30,103.37258345922638
2025-01-31,103.3113724521141
2025-02-01,103.54647595534549
2025-02-02,103.63255094857553
2025-02-03,103.72898203193735
2025-02-04,104.00708357893494
2025-02-05,104.2656852822206
2025-02-06,104.52434406898406
2025-02-07,104.62129027898447
2025-02-08,104.78066399387065
2025-02-09,104.81888178159281
