,Grup,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
0,Alkollü içecekler ve tütün,0.012674131568646274,9.89672018894565,0.0,0.0,-0.00035004759856294143
1,Ev eşyası,5.940016651323177,3.4823352267359553,0.8780426015429832,1.5870862594104196,1.2304486238188916
2,Eğitim,7.486045556938836,7.61877251498555,0.012453229697695356,0.012208411620151516,0.13263975057504762
3,Eğlence ve kültür,3.6160089919053284,1.4900455588751305,0.9800468457668465,1.586369950317179,0.2476969958613573
4,Giyim ve ayakkabı,4.754021614881343,6.736147199382736,1.0116461064445748,-0.11871667972725986,0.22458938452494248
5,Gıda ve alkolsüz içecekler,3.3360494973046606,4.696250295931059,2.412895232131418,1.1688960725436237,1.696311231547698
6,Haberleşme,-1.0938528271319137,-1.4834242358472638,-2.027968015627102,-0.14845299514986143,-0.2224068405241364
7,Konut,5.072060956601199,2.3818463936492673,5.089161473909143,2.6286422597746606,3.02180325198822
8,Lokanta ve oteller,3.5612199213408635,1.0735711278161197,4.201151854010132,4.6716797922879305,3.170482147679121
9,Sağlık,-14.197044536458847,-0.7698007016458286,0.0,0.0,-0.009713013168755058
10,Ulaştırma,2.0373407966629564,0.14997224847801416,3.2620741529632458,2.3351980495140756,4.267383658055346
11,Çeşitli mal ve hizmetler,5.404529181895579,5.009540349878838,2.880379470143901,1.3914308008386778,2.6506529685476066
12,TÜFE,3.820181580895321,3.160646807184442,2.661613380402561,1.7756414951038524,2.1006396227727153
